trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
40,False,"{'a': 0.10642320326826067, 'e': 0.45479633056219465}",25,1,-33.91926543753217,"{0: 20, 1: 2, 2: 1, 3: 0, 4: 1}",1
41,False,"{'a': 0.1047808829414346, 'e': 0.44570040395095073}",20,0,-36.61424128087752,"{0: 17, 1: 0, 2: 2, 3: 0, 4: 1}",0
42,False,"{'a': 0.10330279464729114, 'e': 0.4367863958719317}",20,16,7.515403499231204,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
43,False,"{'a': 0.10197251518256203, 'e': 0.42805066795449304}",25,0,-57.282445066488464,"{0: 18, 1: 4, 2: 2, 3: 0, 4: 1}",0
44,False,"{'a': 0.10077526366430582, 'e': 0.4194896545954032}",30,0,-12.80863137707254,"{0: 26, 1: 0, 2: 4, 3: 0, 4: 0}",0
45,False,"{'a': 0.09969773729787525, 'e': 0.41109986150349515}",25,19,8.267160526202595,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
46,False,"{'a': 0.09872796356808772, 'e': 0.4028778642734252}",25,1,-41.02457836033079,"{0: 19, 1: 1, 2: 2, 3: 2, 4: 0}",1
47,False,"{'a': 0.09785516721127895, 'e': 0.39482030698795667}",25,13,5.817918238581534,"{0: 11, 1: 0, 2: 1, 3: 0, 4: 0}",1
48,False,"{'a': 0.09706965049015105, 'e': 0.38692390084819756}",30,13,-44.55903060054654,"{0: 13, 1: 2, 2: 1, 3: 0, 4: 1}",1
49,False,"{'a': 0.09636268544113595, 'e': 0.3791854228312336}",30,0,0.8394746605167045,"{0: 29, 1: 0, 2: 0, 3: 0, 4: 1}",0
50,False,"{'a': 0.09572641689702235, 'e': 0.3716017143746089}",20,0,2.2146129400795287,"{0: 17, 1: 2, 2: 1, 3: 0, 4: 0}",0
51,False,"{'a': 0.09515377520732012, 'e': 0.36416968008711675}",20,10,9.531034374933025,"{0: 9, 1: 1, 2: 0, 3: 0, 4: 0}",1
52,False,"{'a': 0.0946383976865881, 'e': 0.3568862864853744}",20,0,-68.31189910552469,"{0: 17, 1: 1, 2: 0, 3: 0, 4: 2}",0
53,False,"{'a': 0.0941745579179293, 'e': 0.3497485607556669}",25,0,-2.954403782639817,"{0: 22, 1: 0, 2: 3, 3: 0, 4: 0}",0
54,False,"{'a': 0.09375710212613636, 'e': 0.34275358954055357}",20,0,-19.118501543030295,"{0: 16, 1: 0, 2: 4, 3: 0, 4: 0}",0
55,False,"{'a': 0.09338139191352272, 'e': 0.3358985177497425}",20,0,10.723656851022985,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
56,False,"{'a': 0.09304325272217046, 'e': 0.3291805473947476}",20,0,7.857298512375223,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
57,False,"{'a': 0.0927389274499534, 'e': 0.32259693644685267}",25,0,-106.27710396358094,"{0: 20, 1: 1, 2: 1, 3: 0, 4: 3}",0
58,False,"{'a': 0.09246503470495807, 'e': 0.3161449977179156}",30,2,-45.59331033590198,"{0: 26, 1: 0, 2: 0, 3: 0, 4: 2}",1
59,False,"{'a': 0.09221853123446226, 'e': 0.3098220977635573}",30,21,-41.517631966025455,"{0: 7, 1: 0, 2: 1, 3: 0, 4: 1}",1
60,False,"{'a': 0.09199667811101603, 'e': 0.30362565580828615}",20,4,-63.66307038604965,"{0: 12, 1: 0, 2: 2, 3: 1, 4: 1}",1
61,False,"{'a': 0.09179701029991442, 'e': 0.2975531426921204}",25,8,-87.05045011385063,"{0: 10, 1: 2, 2: 3, 3: 1, 4: 1}",1
62,False,"{'a': 0.09161730926992298, 'e': 0.291602079838278}",30,0,-50.3590238905759,"{0: 25, 1: 1, 2: 3, 3: 0, 4: 1}",0
63,False,"{'a': 0.0914555783429307, 'e': 0.2857700382415124}",20,12,0.2068235068071993,"{0: 7, 1: 0, 2: 1, 3: 0, 4: 0}",1
64,False,"{'a': 0.09131002050863762, 'e': 0.2800546374766822}",25,7,3.127524556235451,"{0: 16, 1: 1, 2: 0, 3: 1, 4: 0}",1
65,False,"{'a': 0.09117901845777386, 'e': 0.2744535447271485}",20,9,7.343544390828009,"{0: 10, 1: 0, 2: 1, 3: 0, 4: 0}",1
66,False,"{'a': 0.09106111661199646, 'e': 0.2689644738326056}",20,12,18.058415602821373,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
67,False,"{'a': 0.09095500495079682, 'e': 0.26358518435595346}",20,0,-54.5957306126625,"{0: 14, 1: 4, 2: 0, 3: 1, 4: 1}",0
68,False,"{'a': 0.09085950445571714, 'e': 0.25831348066883436}",20,0,9.002061427173192,"{0: 18, 1: 1, 2: 1, 3: 0, 4: 0}",0
69,False,"{'a': 0.09077355401014543, 'e': 0.2531472110554577}",20,0,-14.821689429460323,"{0: 16, 1: 1, 2: 3, 3: 0, 4: 0}",0
70,False,"{'a': 0.09069619860913089, 'e': 0.2480842668343485}",20,8,-1.1053035367127766,"{0: 10, 1: 0, 2: 2, 3: 0, 4: 0}",1
71,False,"{'a': 0.09062657874821779, 'e': 0.24312258149766153}",20,10,8.58789967814043,"{0: 9, 1: 0, 2: 1, 3: 0, 4: 0}",1
72,False,"{'a': 0.09056392087339601, 'e': 0.2382601298677083}",20,16,7.895981644162721,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
73,False,"{'a': 0.09050752878605642, 'e': 0.23349492727035415}",25,0,13.130722381238574,"{0: 24, 1: 0, 2: 1, 3: 0, 4: 0}",0
74,False,"{'a': 0.09045677590745077, 'e': 0.22882502872494703}",30,0,-11.77203252493647,"{0: 26, 1: 1, 2: 2, 3: 1, 4: 0}",0
75,False,"{'a': 0.0904110983167057, 'e': 0.2242485281504481}",20,0,-2.2967476571379004,"{0: 16, 1: 4, 2: 0, 3: 0, 4: 0}",0
76,False,"{'a': 0.09036998848503512, 'e': 0.21976355758743912}",20,0,-35.418499662579194,"{0: 17, 1: 1, 2: 1, 3: 0, 4: 1}",0
77,False,"{'a': 0.09033298963653161, 'e': 0.21536828643569034}",25,1,6.809001585122228,"{0: 22, 1: 1, 2: 0, 3: 1, 4: 0}",1
78,False,"{'a': 0.09029969067287845, 'e': 0.21106092070697655}",25,11,13.363572568653868,"{0: 13, 1: 0, 2: 1, 3: 0, 4: 0}",1
79,False,"{'a': 0.0902697216055906, 'e': 0.206839702292837}",20,0,-15.201422843078696,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 1}",0
80,False,"{'a': 0.09024274944503155, 'e': 0.20270290824698026}",25,0,14.657046465886973,"{0: 23, 1: 1, 2: 1, 3: 0, 4: 0}",0
81,False,"{'a': 0.09021847450052839, 'e': 0.19864885008204064}",20,10,16.817169837112093,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
82,False,"{'a': 0.09019662705047556, 'e': 0.19467587308039982}",30,18,5.985430452849579,"{0: 11, 1: 0, 2: 1, 3: 0, 4: 0}",1
83,False,"{'a': 0.09017696434542799, 'e': 0.19078235561879184}",20,7,5.279845537771699,"{0: 11, 1: 1, 2: 1, 3: 0, 4: 0}",1
84,False,"{'a': 0.09015926791088519, 'e': 0.186966708506416}",20,0,19.582552710032374,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
85,False,"{'a': 0.09014334111979667, 'e': 0.18322737433628766}",25,14,17.170175310964,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
86,False,"{'a': 0.09012900700781701, 'e': 0.1795628268495619}",30,8,-9.46155978349581,"{0: 21, 1: 0, 2: 0, 3: 0, 4: 1}",1
