trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
40,False,"{'a': 0.10642320326826067, 'e': 0.45479633056219465}",30,0,-115.7509510049239,"{0: 21, 1: 1, 2: 6, 3: 0, 4: 2}",0
41,False,"{'a': 0.1047808829414346, 'e': 0.44570040395095073}",25,17,-41.521288666931135,"{0: 6, 1: 0, 2: 1, 3: 0, 4: 1}",1
42,False,"{'a': 0.10330279464729114, 'e': 0.4367863958719317}",30,15,-57.91562057654411,"{0: 10, 1: 0, 2: 4, 3: 0, 4: 1}",1
43,False,"{'a': 0.10197251518256203, 'e': 0.42805066795449304}",25,0,-44.394565948237116,"{0: 16, 1: 4, 2: 5, 3: 0, 4: 0}",0
44,False,"{'a': 0.10077526366430582, 'e': 0.4194896545954032}",20,0,-56.823517190404075,"{0: 14, 1: 3, 2: 2, 3: 0, 4: 1}",0
45,False,"{'a': 0.09969773729787525, 'e': 0.41109986150349515}",20,7,15.242913658589465,"{0: 12, 1: 1, 2: 0, 3: 0, 4: 0}",1
46,False,"{'a': 0.09872796356808772, 'e': 0.4028778642734252}",20,10,-5.349333461749675,"{0: 8, 1: 1, 2: 1, 3: 0, 4: 0}",1
47,False,"{'a': 0.09785516721127895, 'e': 0.39482030698795667}",20,14,8.55834323434415,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
48,False,"{'a': 0.09706965049015105, 'e': 0.38692390084819756}",25,0,-68.40595735900956,"{0: 21, 1: 1, 2: 1, 3: 0, 4: 2}",0
49,False,"{'a': 0.09636268544113595, 'e': 0.3791854228312336}",20,0,-73.85818617268609,"{0: 16, 1: 0, 2: 2, 3: 0, 4: 2}",0
50,False,"{'a': 0.09572641689702235, 'e': 0.3716017143746089}",20,0,-3.2236807718923863,"{0: 17, 1: 0, 2: 3, 3: 0, 4: 0}",0
51,False,"{'a': 0.09515377520732012, 'e': 0.36416968008711675}",30,20,17.022642638526378,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
52,False,"{'a': 0.0946383976865881, 'e': 0.3568862864853744}",20,13,14.145291247054153,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
53,False,"{'a': 0.0941745579179293, 'e': 0.3497485607556669}",20,6,12.325349727337754,"{0: 13, 1: 1, 2: 0, 3: 0, 4: 0}",1
54,False,"{'a': 0.09375710212613636, 'e': 0.34275358954055357}",25,14,-20.27149411889898,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 1}",1
55,False,"{'a': 0.09338139191352272, 'e': 0.3358985177497425}",25,8,14.044703704888583,"{0: 15, 1: 2, 2: 0, 3: 0, 4: 0}",1
56,False,"{'a': 0.09304325272217046, 'e': 0.3291805473947476}",25,3,27.968387836717632,"{0: 21, 1: 1, 2: 0, 3: 0, 4: 0}",1
57,False,"{'a': 0.0927389274499534, 'e': 0.32259693644685267}",20,0,-114.95487078843819,"{0: 15, 1: 0, 2: 2, 3: 0, 4: 3}",0
58,False,"{'a': 0.09246503470495807, 'e': 0.3161449977179156}",25,13,18.461124848912117,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
59,False,"{'a': 0.09221853123446226, 'e': 0.3098220977635573}",20,0,-40.65953759098274,"{0: 17, 1: 0, 2: 2, 3: 0, 4: 1}",0
60,False,"{'a': 0.09199667811101603, 'e': 0.30362565580828615}",25,11,-28.18433685183637,"{0: 12, 1: 1, 2: 0, 3: 0, 4: 1}",1
61,False,"{'a': 0.09179701029991442, 'e': 0.2975531426921204}",20,10,9.813476617736418,"{0: 9, 1: 1, 2: 0, 3: 0, 4: 0}",1
62,False,"{'a': 0.09161730926992298, 'e': 0.291602079838278}",25,6,-4.916110105998136,"{0: 15, 1: 2, 2: 2, 3: 0, 4: 0}",1
63,False,"{'a': 0.0914555783429307, 'e': 0.2857700382415124}",20,11,2.7584860319733924,"{0: 8, 1: 0, 2: 1, 3: 0, 4: 0}",1
64,False,"{'a': 0.09131002050863762, 'e': 0.2800546374766822}",25,3,-33.24131037616692,"{0: 19, 1: 0, 2: 2, 3: 0, 4: 1}",1
65,False,"{'a': 0.09117901845777386, 'e': 0.2744535447271485}",20,0,4.528821668969597,"{0: 17, 1: 2, 2: 1, 3: 0, 4: 0}",0
66,False,"{'a': 0.09106111661199646, 'e': 0.2689644738326056}",20,6,-4.9871115068738865,"{0: 12, 1: 0, 2: 2, 3: 0, 4: 0}",1
67,False,"{'a': 0.09095500495079682, 'e': 0.26358518435595346}",20,16,8.4840568531966,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
68,False,"{'a': 0.09085950445571714, 'e': 0.25831348066883436}",20,0,28.78772825574386,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",1
69,False,"{'a': 0.09077355401014543, 'e': 0.2531472110554577}",30,10,6.694897836479363,"{0: 18, 1: 0, 2: 2, 3: 0, 4: 0}",1
70,False,"{'a': 0.09069619860913089, 'e': 0.2480842668343485}",20,15,0.6334606837537591,"{0: 4, 1: 1, 2: 0, 3: 0, 4: 0}",1
71,False,"{'a': 0.09062657874821779, 'e': 0.24312258149766153}",25,0,22.02430721853862,"{0: 23, 1: 2, 2: 0, 3: 0, 4: 0}",0
72,False,"{'a': 0.09056392087339601, 'e': 0.2382601298677083}",20,8,13.550620627221896,"{0: 11, 1: 1, 2: 0, 3: 0, 4: 0}",1
73,False,"{'a': 0.09050752878605642, 'e': 0.23349492727035415}",20,0,-9.274672124927061,"{0: 17, 1: 0, 2: 3, 3: 0, 4: 0}",0
74,False,"{'a': 0.09045677590745077, 'e': 0.22882502872494703}",20,14,8.024113941183957,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
75,False,"{'a': 0.0904110983167057, 'e': 0.2242485281504481}",25,11,1.5675079378184154,"{0: 12, 1: 0, 2: 2, 3: 0, 4: 0}",1
76,False,"{'a': 0.09036998848503512, 'e': 0.21976355758743912}",20,9,-23.271870453599107,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 1}",1
77,False,"{'a': 0.09033298963653161, 'e': 0.21536828643569034}",20,0,12.740932412807425,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
78,False,"{'a': 0.09029969067287845, 'e': 0.21106092070697655}",30,9,9.891064799250406,"{0: 18, 1: 2, 2: 1, 3: 0, 4: 0}",1
79,False,"{'a': 0.0902697216055906, 'e': 0.206839702292837}",25,13,15.222197935569637,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
80,False,"{'a': 0.09024274944503155, 'e': 0.20270290824698026}",20,3,-38.31963485876965,"{0: 15, 1: 0, 2: 0, 3: 1, 4: 1}",1
